quality_issue_id,normalized_row_id,episode_id,issue_type,severity,raw_value,suggested_value,status
dq_2f40f47e9e624232,nr_510fe16d4bd6c613,ep_656ad2c0ff7e7ddd,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_e4f1745e9f3b885c,nr_0c7cb5a025ab2cfe,ep_c132630efb659c7e,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_5441df219c3fa731,nr_34654111d3dec7a6,ep_bd44ef599492f523,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_413039a49b702b09,nr_34654111d3dec7a6,ep_bd44ef599492f523,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_bc60348cc081d47f,nr_d9b123bdad19fba0,ep_afbc626db2abac02,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_80771d0bc0e52d4b,nr_3025ebfdf6082e07,ep_ebda4f8d6d0a8243,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_fafd117b52247a90,nr_db75c0796ad2965c,ep_8f6e598c584abf9b,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_1a14993bcdbd4d6e,nr_6c6c7d4f41ed8d68,ep_24f871f36016b255,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_d3866e837a266304,nr_0ebb8c4ba6ce5365,ep_f78b2a6cf135e192,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_a83ecba122c4503d,nr_cb4319dd4b3e59cb,ep_dc5851048386d4e4,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_0a7c677a47e6064d,nr_dcf1c9aeb4dea3d4,ep_ff84e61e55ce4398,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_3218b1aa161a4b33,nr_dff7de03c9a11b18,ep_a631f32e3d25ae87,MANUAL_RUT_OVERRIDE,LOW,9393416-4,,RESOLVED_AUTO
dq_ef47d7bf622eb98f,nr_dff7de03c9a11b18,ep_a631f32e3d25ae87,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
